Full-Text Downloads for 2013-11-01 through 2014-01-31 for Berkeley Law Scholarship Repository					
Title	URL	First published	11/1/2013	12/1/2013	1/1/2014
"People v. Sarun Chun - In Its Latest Battle with Merger Doctrine, Has the California Supreme Court Effectively Merged Second-Degree Felony Murder out of Existence"	http://scholarship.law.berkeley.edu/bjcl/vol15/iss1/4	2/15/2013	216	46	1
Firearms and Federal Law: The Gun Control Act of 1968	http://scholarship.law.berkeley.edu/facpubs/1114	9/18/2012	216	153	12
Structuring Foreign Investments in U.S. Corporations Using Portfolio Debt Guaranteed by the Issuer's Foreign Affiliate	http://scholarship.law.berkeley.edu/bjil/vol6/iss2/8	9/23/2012	206	172	5
Introduction to Power Station Project Financing	http://scholarship.law.berkeley.edu/bjil/vol13/iss1/2	9/24/2012	196	129	8
From Color Line to Color Chart: Racism and Colorism in the New Century	http://scholarship.law.berkeley.edu/bjalp/vol10/iss1/3	4/26/2013	195	123	4
The Civil Jury Trial and the Law-Fact Distinction	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss5/1	7/17/2012	190	177	17
Damages for Breach of Contract	http://scholarship.law.berkeley.edu/facpubs/1449	9/20/2012	188	244	9
Practical Considerations in Drafting F.O.B. Terms in International Sales	http://scholarship.law.berkeley.edu/bjil/vol3/iss2/5	9/24/2012	179	184	10
Second Wives' Club: Mapping the Impact of Polygamy in U.S. Immigration Law	http://scholarship.law.berkeley.edu/bjil/vol27/iss2/3	9/24/2012	176	136	6
Corporate Governance as Social Responsibility: A Research Agenda	http://scholarship.law.berkeley.edu/bjil/vol26/iss2/5	9/24/2012	176	171	10
Rape as an Act of Genocide	http://scholarship.law.berkeley.edu/bjil/vol21/iss2/5	9/24/2012	175	134	9
The Joint and Survivorship Bank Account--A Concept without a Name	http://scholarship.law.berkeley.edu/californialawreview/vol41/iss4/2	7/19/2012	173	160	5
From Nuclear War to Net War: Analogizing Cyber Attacks in International Law	http://scholarship.law.berkeley.edu/bjil/vol27/iss1/7	9/24/2012	173	144	5
Fundamental Concepts of the Roman Law	http://scholarship.law.berkeley.edu/californialawreview/vol13/iss3/2	7/24/2012	165	85	5
What Is a Cause of Action	http://scholarship.law.berkeley.edu/californialawreview/vol16/iss6/1	7/24/2012	163	189	6
The ILC Articles on State Responsiblity: The Paradoxical Relationship between Form and Authority	http://scholarship.law.berkeley.edu/facpubs/1738	9/20/2012	161	97	2
Do Mandatory Rules of Public Law Limit Choice of Law in International Commercial Arbitration	http://scholarship.law.berkeley.edu/bjil/vol10/iss1/2	9/24/2012	161	96	8
Extradition Law and the International Criminal Court	http://scholarship.law.berkeley.edu/bjcl/vol3/iss1/1	2/19/2013	160	152	11
EMI v. MP3 Tunes: Business Model Proposals for the Music Industry in the Context of Emerging Technology	http://scholarship.law.berkeley.edu/bjesl/vol2/iss1/8	11/22/2013	153	188	5
Causation in Tort Law	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss6/2	7/10/2012	153	122	5
The Arbitrability of International Intellectual Property Disputes	http://scholarship.law.berkeley.edu/bjil/vol14/iss1/4	9/24/2012	150	88	4
Moral Argument and Liberal Toleration: Abortion and Homosexuality	http://scholarship.law.berkeley.edu/californialawreview/vol77/iss3/5	7/10/2012	150	91	2
The Fruit of the Poisonous Tree Revisited and Shepardized	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss3/2	7/17/2012	146	135	9
The Physical Computer and the Fourth Amendment	http://scholarship.law.berkeley.edu/bjcl/vol16/iss1/3	2/15/2013	144	104	2
The Amorality of Profit: Transnational Corporations and Human Rights	http://scholarship.law.berkeley.edu/bjil/vol20/iss1/3	9/24/2012	143	102	6
Andrew Jackson and Presidential Power	http://scholarship.law.berkeley.edu/facpubs/687	9/18/2012	142	134	4
European Union Lobbying Post-Lisbon: An Economic Analysis	http://scholarship.law.berkeley.edu/bjil/vol29/iss2/6	9/25/2012	142	124	5
The Legal Roles of Shareholders and Management in Modern Corporate Decisionmaking	http://scholarship.law.berkeley.edu/californialawreview/vol57/iss1/1	7/17/2012	141	132	6
"Too Smart for his own Good? The Devolution of a ""Model"" Asian American Student"	http://scholarship.law.berkeley.edu/aalj/vol20/iss1/4	9/7/2013	141	66	1
Post-Racial Racism: Racial Stratification and Mass Incarceration in the Age of Obama	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss3/11	7/9/2012	140	153	3
The California Alien Land Law and the Fourteenth Amendment	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss1/4	7/20/2012	138	169	4
Understanding the Presumption against Extraterritoriality	http://scholarship.law.berkeley.edu/bjil/vol16/iss1/5	9/24/2012	138	144	12
"The Conception That the Corporation Is a Nexus of Contracts, and the Dual Nature of the Firm"	http://scholarship.law.berkeley.edu/facpubs/547	9/18/2012	138	74	6
Sex Offender Civil Commitment: The Treatment Paradox	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss6/10	7/9/2012	137	129	11
Understanding Post-Soviet Ethnic Discrimination and the Effective Use of U.S. Refugee Resettlement: The Case of the Meskhetian Turks of Krasnodar Krai	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss6/5	7/9/2012	137	19	3
Nor Cruel and Unusual Punishments Inflicted: The Original Meaning	http://scholarship.law.berkeley.edu/californialawreview/vol57/iss4/1	7/17/2012	135	95	3
Contest and Consent: A Legal History of Marital Rape	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss5/2	7/10/2012	131	119	1
Nonparties and Preclusion by Judgment: The Privity Rule Reconsidered	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss4/5	7/17/2012	130	110	6
Undisclosed Principal's Rights and Liabilities: A Test of Election of Remedies	http://scholarship.law.berkeley.edu/californialawreview/vol39/iss3/7	7/20/2012	130	75	2
Like Is a Four-Letter Wort - GATT Article III's Like Product Conundrum	http://scholarship.law.berkeley.edu/bjil/vol17/iss1/2	9/24/2012	129	113	2
"Spotify: Incentivizing Album Creation Through ""The Facebook"" of Music"	http://scholarship.law.berkeley.edu/bjesl/vol2/iss1/9	11/22/2013	128	109	6
General Comment 24: Confronting the Problem of Reservations to Human Rights Treaties	http://scholarship.law.berkeley.edu/bjil/vol17/iss2/4	9/24/2012	128	108	7
A Family Court: The California Proposal	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss5/1	7/17/2012	127	42	2
The Black/White Binary Paradigm of Race: The Normal Science of American Racial Thought	http://scholarship.law.berkeley.edu/californialawreview/vol85/iss5/3	7/10/2012	127	175	7
The U.N. Security Council's Referral of the Crimes in Darfur to the International Criminal Court in Light of U.S. Opposition to the Court: Implications for the International Criminal Court's Functions and Status	http://scholarship.law.berkeley.edu/bjil/vol24/iss2/10	9/24/2012	125	84	8
The Fourth Amendment and Common Law	http://scholarship.law.berkeley.edu/facpubs/5	9/17/2012	124	97	1
The Origins of Due Process in India: The Role of Borrowing in Personal Liberty and Preventive Detention Cases	http://scholarship.law.berkeley.edu/bjil/vol28/iss1/7	9/24/2012	122	96	13
The Doctrine of Forum Non Conveniens	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss3/4	7/20/2012	122	74	8
Anti-Dumping and Distrust: Reducing Anti-Dumping Duties under the W.T.O. through Heightened Scrutiny	http://scholarship.law.berkeley.edu/bjil/vol29/iss1/2	9/25/2012	120	101	7
Juveniles' Capacities to Waive Miranda Rights: An Empirical Analysis	http://scholarship.law.berkeley.edu/californialawreview/vol68/iss6/3	7/17/2012	119	77	0
Beyond Promissory Estoppel: Contract Law and the Invisible Handshake	http://scholarship.law.berkeley.edu/facpubs/1160	9/18/2012	119	111	7
The Indirect Foreign Tax Credit: A Policy Analysis of Section 902	http://scholarship.law.berkeley.edu/bjil/vol13/iss2/3	9/24/2012	118	136	7
"Toward an Asian American Legal Scholarship: Critical Race Theory, Post-Structuralism, and Narrative Space"	http://scholarship.law.berkeley.edu/californialawreview/vol81/iss5/4	7/10/2012	116	112	9
Balancing Minority Rights and Gender Justice: The Impact of Protecting Multiculturalism on Women's Rights in India	http://scholarship.law.berkeley.edu/bjil/vol23/iss1/6	9/24/2012	116	129	7
ICSID Rules of Procedure for Arbitration Proceedings (Arbitration Rules)	http://scholarship.law.berkeley.edu/bjil/vol4/iss2/15	9/24/2012	116	117	5
Mental Illness in Prison: Inmate Rehabilitation &Correctional Officers in Crisis	http://scholarship.law.berkeley.edu/bjcl/vol14/iss1/10	2/15/2013	116	98	1
The Effect of Pooling and Unitization upon Oil and Gas Leases	http://scholarship.law.berkeley.edu/californialawreview/vol45/iss4/1	7/19/2012	116	106	5
The New Merger Guidelines and the Herfindahl-Hirschman Index	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss2/6	7/10/2012	114	100	3
Freedom of Contract and Occupational Licensing 1890-1910: A Legal and Social Study	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss1/21	7/18/2012	113	30	2
The PII Problem: Privacy and a New Concept of Personally Identifiable Information	http://scholarship.law.berkeley.edu/facpubs/1638	9/20/2012	112	134	6
Songs of Innocence and Experience: Dominance Feminism in the University	http://scholarship.law.berkeley.edu/facpubs/465	9/18/2012	112	5	1
The Universal Copyright Convention	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss1/8	7/19/2012	111	97	10
The Limits of Swiss Banking Secrecy under Domestic and International Law	http://scholarship.law.berkeley.edu/bjil/vol2/iss2/2	9/23/2012	111	93	7
"Ocean Tuna Fisheries, East Asian Rivalries, and International Regulation: Japanese Policies and the Overcapacity/IUU Fishing Conundrum"	http://scholarship.law.berkeley.edu/facpubs/733	9/18/2012	108	21	0
The United Nations Responses to the Sexual Abuse and Exploitation of Women and Girls by Peacekeepers during Peacekeeping Missions	http://scholarship.law.berkeley.edu/bjil/vol27/iss1/5	9/24/2012	107	76	3
The Conscription of Asian Sex Slaves: Causes and Effects of U.S. Military Sex Colonialism in Thailand and the Call to Expand U.S. Asylum Law	http://scholarship.law.berkeley.edu/aalj/vol7/iss1/4	9/10/2013	107	59	2
Awarding Moral Damages to Respondent States in Investment Arbitration	http://scholarship.law.berkeley.edu/bjil/vol29/iss1/7	9/25/2012	106	90	3
The Citizen and the Terrorist	http://scholarship.law.berkeley.edu/facpubs/515	9/18/2012	105	99	2
The Tender Years Doctrine: A Defense	http://scholarship.law.berkeley.edu/californialawreview/vol70/iss2/2	7/17/2012	104	98	3
"Sex, Culture, and the Biology of Rape: Toward Explanation and Prevention"	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss4/5	7/10/2012	103	52	4
Federalism: Some Notes on a National Neurosis	http://scholarship.law.berkeley.edu/facpubs/2066	8/15/2013	102	14	1
Performing Interdependence: Judith Butler and Sunaura Taylor in the Examined Life	http://scholarship.law.berkeley.edu/facpubs/464	9/18/2012	102	39	0
State Responsibility to Investigate and Prosecute Grave Human Rights Violations in International Law	http://scholarship.law.berkeley.edu/californialawreview/vol78/iss2/4	7/10/2012	101	75	2
Informed Consent in Medical Malpractice	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss5/5	7/17/2012	101	51	3
Amicus Curiae in International Investment Arbitration: The Implications of an Increase in Third-Party Participation	http://scholarship.law.berkeley.edu/bjil/vol29/iss1/6	9/25/2012	101	78	5
Mistake in Contract Law	http://scholarship.law.berkeley.edu/californialawreview/vol91/iss6/3	7/9/2012	100	64	4
Drafting an Enforceable Guaranty in an International Financing Transaction: A Lender's Perspective	http://scholarship.law.berkeley.edu/bjil/vol10/iss2/2	9/24/2012	98	81	7
The Law on Recognition and Enforcement of Foreign Judgments: Is It Broken and How Do We Fix It?	http://scholarship.law.berkeley.edu/bjil/vol31/iss1/4	10/30/2013	98	123	10
Globalization and Sovereignty	http://scholarship.law.berkeley.edu/bjil/vol31/iss1/6	10/30/2013	97	51	5
The New Renaissance: A Breakthrough Time For Artists	http://scholarship.law.berkeley.edu/bjesl/vol1/iss1/5	4/29/2012	97	38	13
The Twilight Zone of Positive and Natural Law	http://scholarship.law.berkeley.edu/californialawreview/vol43/iss3/3	7/19/2012	97	69	4
The Continuation of Politics by Other Means: The Original Understanding of War Powers	http://scholarship.law.berkeley.edu/facpubs/1611	9/20/2012	96	86	6
Illegal Occupation: Framing the Occupied Palestinian Territory	http://scholarship.law.berkeley.edu/bjil/vol23/iss3/2	9/24/2012	96	61	5
Res Judicata in California	http://scholarship.law.berkeley.edu/californialawreview/vol40/iss3/5	7/20/2012	96	83	6
Joint Torts and Several Liability	http://scholarship.law.berkeley.edu/californialawreview/vol25/iss4/2	7/24/2012	95	70	5
Thirteenth Amendment and Freedom of Choice in Personal Service Occupations A Reappraisal	http://scholarship.law.berkeley.edu/facpubs/1084	9/18/2012	95	45	0
"Obeying Orders: Atrocity, Military Discipline, and the Law of War"	http://scholarship.law.berkeley.edu/californialawreview/vol86/iss5/1	7/10/2012	95	102	5
History of Insanity as a Defence to Crime in English Criminal Law	http://scholarship.law.berkeley.edu/californialawreview/vol12/iss2/3	7/24/2012	95	82	5
Intellectual Property Rights and Standard-Setting Organizations	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss6/3	7/10/2012	94	87	4
A Uniform Solution to Common Law Confusion: Retention of Title under English and U.S. Law	http://scholarship.law.berkeley.edu/bjil/vol12/iss1/3	9/24/2012	94	139	9
The Concept of Permanent Establishment in China's Tax Treaties	http://scholarship.law.berkeley.edu/bjil/vol7/iss1/4	9/23/2012	94	79	2
Proximate Cause in California	http://scholarship.law.berkeley.edu/californialawreview/vol38/iss3/1	7/20/2012	92	100	4
Diverting the Danube: The Gabcikovo-Nagymaros Dispute and International Freshwater Law	http://scholarship.law.berkeley.edu/bjil/vol14/iss2/2	9/24/2012	92	52	12
Collective and Individual Responsibility in International Law with Particular Regard to the Punishment of War Criminals	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss5/3	7/20/2012	91	63	5
Trade Name Infringement as Unfair Competition	http://scholarship.law.berkeley.edu/californialawreview/vol40/iss4/5	7/20/2012	91	50	1
The European Union's Constitutional Order - Between Community Method and Ad Hoc Compromise	http://scholarship.law.berkeley.edu/bjil/vol18/iss1/1	9/24/2012	90	57	5
Problems of International Joint Ventures in Japan	http://scholarship.law.berkeley.edu/facpubs/589	9/18/2012	90	54	1
Japanese War Guilt and Postwar Responsibilities of Japan	http://scholarship.law.berkeley.edu/bjil/vol20/iss3/4	9/24/2012	90	75	8
Law and Behavioral Science: Removing the Rationality Assumption from Law and Economics	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss4/1	7/10/2012	88	114	10
The Relationship between the Alien Tort Statute and the Torture Victim Protection Act	http://scholarship.law.berkeley.edu/bjil/vol28/iss2/14	9/24/2012	88	103	2
Mandatory Sentencing Laws: Undermining the Effectiveness of Determinate Sentencing Reform	http://scholarship.law.berkeley.edu/californialawreview/vol81/iss1/2	7/10/2012	87	67	4
"The Human Right(s) to Water and Sanitation: History, Meaning, and the Controversy Over-Privatization"	http://scholarship.law.berkeley.edu/bjil/vol31/iss1/3	10/30/2013	87	68	4
"The Vanishing Female: The Decline of Women in the Criminal Process, 1687-1912"	http://scholarship.law.berkeley.edu/facpubs/2065	8/15/2013	86	2	0
Precedent and Principles of WTO Panel Jurisprudence	http://scholarship.law.berkeley.edu/bjil/vol16/iss2/3	9/27/2012	86	57	3
FIFA Transfer Rules and Unilateral Termination Without “Just Cause”	http://scholarship.law.berkeley.edu/bjesl/vol2/iss1/3	10/30/2013	85	49	3
The Theory and Practice of the Foreign Sovereign Immunities Act: Untying the Gordian Knot	http://scholarship.law.berkeley.edu/bjil/vol5/iss1/5	9/24/2012	85	104	5
Is Nanotechnology Prohibited by the Biological and Chemical Weapons Conventions	http://scholarship.law.berkeley.edu/bjil/vol22/iss2/4	9/24/2012	84	52	5
The Five Levels of CSR Compliance: The Resiliency of Corporate Liability under the Alien Tort Statute and the Case for a Counterattack Strategy in Compliance Theory	http://scholarship.law.berkeley.edu/bjil/vol29/iss1/9	9/25/2012	84	80	1
Protecting the Confidentiality of Settlement Negotiations	http://scholarship.law.berkeley.edu/facpubs/912	9/18/2012	84	105	9
From Informed Consent to Patient Choice: A New Protected Interest	http://scholarship.law.berkeley.edu/facpubs/1737	9/20/2012	84	71	3
The Relation between Legal Ethics and Business Ethics	http://scholarship.law.berkeley.edu/californialawreview/vol24/iss1/7	7/24/2012	83	63	3
Mail Fantasy: Global Sexual Exploitation in the Mail-Order Bride Industry and Proposed Legal Solutions	http://scholarship.law.berkeley.edu/aalj/vol5/iss1/6	9/10/2013	83	143	11
Impossible Subjects: Illegal Aliens and Alien Citizens	http://scholarship.law.berkeley.edu/facpubs/14	9/17/2012	83	48	1
"Defining Foreign Base Company Income: The Exclusions, Deductions, and Limitations"	http://scholarship.law.berkeley.edu/bjil/vol19/iss1/3	9/24/2012	82	41	3
The Mercantilist Challenge to the Liberal International Trade Order	http://scholarship.law.berkeley.edu/bjil/vol1/iss1/1	9/23/2012	82	54	10
The Role of Arbitration in Resolving Transnational Disputes: A Survey of Trends in the People's Republic of China	http://scholarship.law.berkeley.edu/bjil/vol15/iss2/5	9/24/2012	81	45	4
Mulitilateralizing Investment Treaties through Most-Favored-Nation Clauses	http://scholarship.law.berkeley.edu/bjil/vol27/iss2/5	9/24/2012	81	84	3
The Statutory Right of Redemption in California	http://scholarship.law.berkeley.edu/californialawreview/vol52/iss4/5	7/17/2012	81	90	7
The U.S. International Tax Treatment of Partnerships: A Policy-Based Approach	http://scholarship.law.berkeley.edu/bjil/vol14/iss2/1	9/24/2012	80	59	3
The Role of Justice in Annulling Investor-State Arbitration Awards	http://scholarship.law.berkeley.edu/bjil/vol31/iss1/7	10/30/2013	79	51	4
"Uniform Acts, Restatements, and Trends in American Trust Law at Century's End"	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss6/5	7/10/2012	79	66	4
Architect Tort Liability in Preparation of Plans and Specifications	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss5/4	7/17/2012	78	64	4
The Origins of the Right and Wrong Test of Criminal Responsibility and Its Subsequent Development in the United States: An Historical Survey	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss3/3	7/17/2012	78	56	2
Religious Aspects of Psychedelic Drugs	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss1/7	7/17/2012	77	74	1
The Duty of Care of Corporate Directors and officers	http://scholarship.law.berkeley.edu/facpubs/1150	9/18/2012	76	71	3
Substantive Review of ICSID Awards: Is the Desire for Accuracy Sufficient to Compromise Finality	http://scholarship.law.berkeley.edu/bjil/vol24/iss2/3	9/24/2012	76	62	2
A Compliance-Based Theory of International Law	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss6/2	7/10/2012	76	51	5
Social Problems of Drug Use and Drug Policies	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss1/2	7/17/2012	76	49	3
On the Meaning of Horizontal Agreements in Competition Law	http://scholarship.law.berkeley.edu/californialawreview/vol99/iss3/1	7/9/2012	75	55	1
The Privilege of Confidential Communication between Lawyer and Client	http://scholarship.law.berkeley.edu/californialawreview/vol16/iss6/3	7/24/2012	75	45	1
Dedication of Land In California	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss2/2	7/17/2012	75	73	3
Toward an International Law of Piracy Sui Generis: How the Dual Nature of Maritime Piracy Law Enables Piracy to Flourish	http://scholarship.law.berkeley.edu/bjil/vol29/iss2/1	9/25/2012	75	48	0
Atomic Bomb Testing and the Warner Amendment: A Violation of the Separation of Powers	http://scholarship.law.berkeley.edu/facpubs/1327	9/18/2012	74	14	5
Private Ownership of Public Image: Popular Culture and Publicity Rights	http://scholarship.law.berkeley.edu/californialawreview/vol81/iss1/3	7/10/2012	74	34	0
Ground Water Basin Management	http://scholarship.law.berkeley.edu/californialawreview/vol50/iss1/3	7/19/2012	74	9	0
"Feminism, Foucault, and Rape: A Theory and Politics of Rape Prevention"	http://scholarship.law.berkeley.edu/bglj/vol22/iss1/7	9/24/2013	74	74	3
Negligence Pleading: Alleging Defendants Breach of Duty	http://scholarship.law.berkeley.edu/californialawreview/vol35/iss2/5	7/20/2012	74	60	8
Relation Back of Amendments Naming Previously Unnamed Defendants under Federal Rule of Civil Procedure 15(c)	http://scholarship.law.berkeley.edu/californialawreview/vol89/iss5/5	7/10/2012	74	120	4
Factors of Choice for Venue Transfer under 28 U.S.C. 1404(a)	http://scholarship.law.berkeley.edu/californialawreview/vol41/iss3/7	7/19/2012	74	76	2
Promissory Estoppel and the Statute of Frauds in California	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss6/3	7/17/2012	74	71	2
The Fiduciary Principle	http://scholarship.law.berkeley.edu/californialawreview/vol37/iss4/1	7/20/2012	73	40	4
Legal Norm and Discretion in the Police and Sentencing Processes	http://scholarship.law.berkeley.edu/facpubs/1488	9/20/2012	73	36	6
The Correlation between the Sciences of Law and Economics	http://scholarship.law.berkeley.edu/californialawreview/vol20/iss4/2	7/24/2012	73	53	1
Bargaining in the Shadow of the Law: A Testable Model of Strategic Behavior	http://scholarship.law.berkeley.edu/facpubs/85	9/17/2012	73	60	7
The Revocation of offers	http://scholarship.law.berkeley.edu/facpubs/427	9/18/2012	73	72	2
The Equal Protection of the Laws	http://scholarship.law.berkeley.edu/californialawreview/vol37/iss3/1	7/20/2012	73	67	6
Global Migration: The Impact of Newcomers on Japanese Immigration and Labor Systems	http://scholarship.law.berkeley.edu/bjil/vol19/iss2/2	9/24/2012	73	62	0
Recognition and Enforcement of U.S. Money Judgments in Germany	http://scholarship.law.berkeley.edu/bjil/vol23/iss1/5	9/24/2012	72	44	5
Evaluating China's Special Economic Zones	http://scholarship.law.berkeley.edu/bjil/vol2/iss2/7	9/23/2012	72	46	6
"Guilty Associations: Joint Criminal Enterprise, Command Responsibility, and the Development of International Criminal Law"	http://scholarship.law.berkeley.edu/californialawreview/vol93/iss1/2	7/9/2012	72	38	5
Easement Draftsmanship and Conveyancing	http://scholarship.law.berkeley.edu/californialawreview/vol38/iss3/2	7/20/2012	72	66	6
The Appropriate Source of Law for Forum Non Conveniens Decisions in International Cases: A Proposal for the Development of Federal Common Law	http://scholarship.law.berkeley.edu/bjil/vol4/iss1/6	9/24/2012	71	61	4
Implicit Bias: Scientific Foundations	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss4/1	7/9/2012	71	54	2
International Law and the War in Iraq	http://scholarship.law.berkeley.edu/facpubs/1746	9/20/2012	71	116	0
Judicial Review in Comparative Perspective	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss5/1	7/17/2012	71	72	4
Japanese Corporate Governance: The Hidden Problems of Corporate Law and their Solutions	http://scholarship.law.berkeley.edu/facpubs/567	9/18/2012	70	16	0
Vagueness in Law and Language: Some Philosophical Issues	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss3/3	7/10/2012	70	21	1
The Restatement of Contracts and Consideration	http://scholarship.law.berkeley.edu/californialawreview/vol18/iss6/2	7/24/2012	69	82	3
"Invention, Inversion and Intervention: The Oriental Woman in The World of Suzie Wong, M. Butterfly, and The Adventures of Priscilla, Queen of the Desert"	http://scholarship.law.berkeley.edu/aalj/vol5/iss1/5	9/10/2013	69	56	1
Reproductive Technology and Intent-Based Parenthood: An Opportunity for Gender Neutrality	http://scholarship.law.berkeley.edu/facpubs/344	9/17/2012	68	47	2
"A New International Regime for Carriage of Goods by Sea: Contemporary, Certain, Inclusive AND Efficient, or Just Another One for the Shelves?"	http://scholarship.law.berkeley.edu/bjil/vol30/iss2/2	4/24/2013	68	63	4
The Collateral Source Rule and Loss Allocation in Tort Law	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss4/2	7/17/2012	68	79	6
George Washington and the Executive Power	http://scholarship.law.berkeley.edu/facpubs/1272	9/18/2012	68	74	3
Beyond Nationalism and toward a Dynamic Theory of Pan-African Unity	http://scholarship.law.berkeley.edu/bjalp/vol8/iss1/3	4/26/2013	68	29	0
Cause and Consideration in California--A Re-Appraisal	http://scholarship.law.berkeley.edu/californialawreview/vol47/iss1/5	7/19/2012	68	58	6
The Legitimacy of the Collective Authority of the Security Council	http://scholarship.law.berkeley.edu/facpubs/1642	9/20/2012	67	48	0
