Full-Text Downloads for 2012-02-01 through 2013-09-20 for Berkeley Law Scholarship Repository																						
Title	URL	First published	2/1/2012	3/1/2012	4/1/2012	5/1/2012	6/1/2012	7/1/2012	8/1/2012	9/1/2012	10/1/2012	11/1/2012	12/1/2012	1/1/2013	2/1/2013	3/1/2013	4/1/2013	5/1/2013	6/1/2013	7/1/2013	8/1/2013	9/1/2013
"Aguas del Tunari, S.A. v. Republic of Bolivia, ICSID Case No. ARB/02/3, Decision on Respondent’s Objections to Jurisdiction (21 October 2005) (David D. Caron, President; Henri C. Alvarez, Member; and Jose Luis Alberro-Semerena, Member)."	http://works.bepress.com/david_caron/49	5/30/2008	21	26	19	16	9	12	12	16	8	11	8	3	8	10	5	2	1	8	8	5
The Nature of the Iran United States Claims Tribunal and the Evolving Structure of International Dispute Resolution	http://works.bepress.com/david_caron/16	5/29/2008	20	26	9	20	22	5	4	7	8	17	12	10	7	12	3	9	3	4	3	7
Optimal Number of Governments	http://works.bepress.com/robert_cooter/69	1/20/2004	19	19	10	13	7	7	8	6	3	0	1	0	2	1	3	0	0	0	0	0
An Economic Case for Comparative Negligence	http://works.bepress.com/robert_cooter/25	1/20/2004	19	22	24	20	29	22	13	20	16	31	11	19	26	24	19	13	8	10	13	14
International Courts and Tribunals:  Their Roles Amidst a World of Courts	http://works.bepress.com/david_caron/117	7/5/2011	19	18	21	19	17	7	10	6	11	9	4	2	6	13	9	5	5	6	4	2
Maturing into Normal Science: The Effect of Empirical Legal Studies on Law and Economics	http://works.bepress.com/robert_cooter/162	10/25/2011	18	24	18	18	7	23	12	21	15	8	5	14	14	10	16	9	9	6	6	11
The Logic of Power in the Emerging European Constitution: Game Theory and the Division of Powers	http://works.bepress.com/robert_cooter/94	4/21/2004	18	12	9	16	6	5	8	8	7	11	2	0	4	10	7	8	4	6	4	4
Mixed Equilibria are Unstable in Games of Strategic Complements	http://works.bepress.com/aaron_edlin/39	1/18/2005	18	29	22	31	9	10	12	11	5	4	8	6	5	7	19	6	6	7	9	4
"Competing for Capital: The Diffusion of Bilateral Investment Treaties, 1960-2000"	http://works.bepress.com/andrew_guzman/14	4/1/2008	17	39	37	17	22	9	13	14	14	33	36	6	17	10	20	16	8	12	8	13
How International Law Works: Introduction	http://works.bepress.com/andrew_guzman/43	3/24/2009	17	7	11	8	6	4	5	1	1	4	4	3	8	2	1	3	1	1	2	2
The Terrorist Surveillance Program and the Constitution	http://works.bepress.com/johnyoo/19	3/22/2008	16	10	12	10	7	11	5	9	7	9	5	7	3	11	7	5	12	17	7	11
Optimal Penalties in Contracts	http://works.bepress.com/aaron_edlin/30	1/23/2004	16	12	10	22	12	10	15	18	8	4	8	11	9	14	16	4	7	9	14	10
Bargaining in the Shadow of the Law: A Testable Model of Strategic Behavior	http://works.bepress.com/robert_cooter/49	1/20/2004	16	30	28	25	23	16	24	33	19	20	5	6	25	13	16	9	14	4	4	4
Administrative Law and Economics	http://works.bepress.com/robert_cooter/62	1/20/2004	16	4	5	11	9	8	4	16	10	5	5	6	11	3	7	4	3	9	5	3
Law and the Imperialism of Economics: An Introduction to the Economic Analysis of Law and a Review of the Major Books	http://works.bepress.com/robert_cooter/88	1/21/2004	16	13	14	13	6	12	7	17	7	10	4	6	14	11	6	7	3	2	0	6
The Misperception of Norms: The Psychology of Bias and the Economics of Equilibrium	http://works.bepress.com/robert_cooter/138	1/4/2007	16	17	18	25	10	13	11	11	7	6	4	7	2	4	10	5	5	3	2	0
Law and the Poverty of Nations	http://works.bepress.com/robert_cooter/144	9/7/2007	15	18	16	26	9	15	22	43	24	10	8	11	8	6	13	4	6	4	4	4
The Cost of Coase	http://works.bepress.com/robert_cooter/97	6/18/2004	15	12	15	21	13	18	10	15	16	8	15	9	5	10	11	16	4	0	4	6
"Collective Action Federalism: A General Theory of Article I, Section 8"	http://works.bepress.com/robert_cooter/163	2/6/2012	15	8	6	14	13	9	11	14	14	5	6	10	4	9	10	4	4	7	3	9
"Lincoln and Habeas: Of Merryman, Milligan, and McCardle"	http://works.bepress.com/johnyoo/49	3/12/2010	14	7	9	7	6	1	1	2	0	1	1	3	1	1	5	2	1	3	0	0
ICSID in the Twenty-First Century: An Interview with Meg Kinnear	http://works.bepress.com/david_caron/127	11/28/2011	14	8	17	13	14	16	29	7	3	7	4	11	10	5	3	4	3	2	5	4
"Rational Treaties: Article II, Congressional-Executive Agreements, and International Bargaining"	http://works.bepress.com/johnyoo/55	3/11/2011	14	10	6	5	2	9	0	5	1	4	0	0	1	1	3	3	0	2	0	1
Proposed Horizontal Merger Guidelines: Economists’ Comment	http://works.bepress.com/aaron_edlin/78	6/30/2010	14	18	13	23	12	8	9	16	6	4	4	8	5	9	19	1	6	4	4	4
"Unity in Tort, Contract and Property: The Model of Precaution"	http://works.bepress.com/robert_cooter/14	1/20/2004	14	26	29	20	16	20	6	19	24	15	5	12	8	10	12	7	6	5	10	4
International Common Law: The Soft Law of International Tribunals	http://works.bepress.com/andrew_guzman/37	9/12/2008	14	24	10	19	13	4	5	3	4	8	5	12	2	11	6	4	5	4	4	1
International Law and the Rise of China	http://works.bepress.com/johnyoo/36	7/16/2008	14	11	8	7	6	2	5	4	1	4	4	6	1	3	7	6	3	3	2	1
Do Good Laws Make Good Citizens?  An Economic Analysis of Internalized Norms	http://works.bepress.com/robert_cooter/10	1/20/2004	14	20	27	30	15	18	21	23	31	45	29	25	19	26	28	20	10	13	6	19
Rethinking Tort Doctrine: Visions of a Restatement (Fourth) of Torts	http://works.bepress.com/stephen_sugarman/11	11/15/2006	14	4	1	10	0	1	4	1	10	39	32	2	3	0	0	1	1	0	0	4
"Professor's Update to Antitrust Analysis: Problems, Text and Cases"	http://works.bepress.com/aaron_edlin/65	7/13/2009	14	19	35	23	11	14	17	26	83	71	49	17	12	8	18	7	10	7	1	6
Does International Law Matter?	http://works.bepress.com/david_caron/33	5/30/2008	14	16	10	7	7	4	2	2	7	5	4	23	15	4	2	5	0	5	6	35
Rational Voting and Voter Turnout	http://works.bepress.com/aaron_edlin/31	1/23/2004	13	6	18	15	3	3	5	6	5	0	3	2	1	5	3	1	1	0	2	2
Expressive Law and Economics	http://works.bepress.com/robert_cooter/67	1/20/2004	13	19	35	43	22	16	15	14	18	21	22	16	24	21	31	21	11	10	10	15
Laws as Treaties? The Constitutionality of the Congressional-Executive AGreement	http://works.bepress.com/johnyoo/24	5/14/2008	13	12	10	16	5	2	4	3	2	3	2	1	4	1	5	3	4	4	0	1
Fighting Childhood Obesity through Performance-Based Regulation of the Food Industry	http://works.bepress.com/stephen_sugarman/26	2/9/2007	13	14	11	16	10	7	3	17	12	15	8	5	7	10	24	3	5	4	6	2
International Soft Law	http://works.bepress.com/andrew_guzman/41	3/4/2009	13	25	5	8	4	7	3	10	10	10	4	17	7	27	6	0	3	7	5	7
Are the ICSID Rules Governing Nationality and Investment Working? – A Discussion	http://works.bepress.com/david_caron/76	2/4/2009	13	10	13	10	24	16	7	9	6	8	5	4	3	6	0	4	6	14	5	3
Liability Rights As Contingent Claims	http://works.bepress.com/robert_cooter/64	1/20/2004	12	8	18	31	16	14	8	11	10	10	11	10	9	10	5	0	2	2	2	1
"""Lifestyle"" Discrimination in Employment"	http://works.bepress.com/stephen_sugarman/14	11/15/2006	12	39	22	22	17	17	12	31	50	32	17	36	14	17	11	13	5	4	3	4
Challenges to Civilian Control of the Military: A Rational Choice Approach to the War on Terror	http://works.bepress.com/johnyoo/20	3/22/2008	12	1	7	9	1	2	5	3	3	2	2	4	40	1	7	13	3	6	4	3
"Economic Analysis in Civil Law Countries: Past, Present, Future"	http://works.bepress.com/robert_cooter/119	7/24/2006	12	5	15	14	12	10	10	5	9	6	6	4	6	12	7	5	5	1	3	0
The Misperception of Norms: The Psychology of Bias and the Economics of Equilibrium	http://works.bepress.com/robert_cooter/155	8/17/2009	12	10	23	16	5	6	5	8	3	3	0	6	5	5	5	4	4	1	3	0
Stopping Above-Cost Predatory Pricing	http://works.bepress.com/aaron_edlin/18	2/3/2004	12	9	12	7	2	11	9	7	8	11	5	4	8	3	8	5	3	7	3	3
Breach Remedies	http://works.bepress.com/aaron_edlin/25	1/23/2004	12	16	12	30	12	8	7	8	5	2	2	8	2	4	7	2	4	1	2	4
Externalities and Pay as You Drive Auto Insurance	http://works.bepress.com/aaron_edlin/62	6/23/2008	12	19	27	21	13	12	16	13	8	6	2	7	5	14	17	2	7	10	5	7
Chapter 1: The Importance of Law in Promoting Innovation and Growth	http://works.bepress.com/robert_cooter/165	2/7/2012	11	13	9	22	6	11	10	14	22	4	7	7	5	10	7	4	5	5	12	5
The Bundling of Academic Journals	http://works.bepress.com/aaron_edlin/40	4/14/2005	11	12	21	27	8	9	6	7	16	10	5	6	3	12	11	7	5	10	5	8
Deep Seabed Mining:  A Comparative Study of Municipal Legislation by the United States of America and the Federal Republic of Germany	http://works.bepress.com/david_caron/25	5/30/2008	11	24	17	10	4	1	0	0	2	3	0	0	0	1	1	5	3	1	1	3
Normative Failure Theory of Law	http://works.bepress.com/robert_cooter/19	1/20/2004	11	10	17	15	16	15	9	8	14	14	8	13	5	15	22	11	12	6	3	5
The Iran – U.S. Claims Tribunal and Investment Arbitration: Understanding the Claims Settlement Declaration as a Retrospective BIT	http://works.bepress.com/david_caron/38	5/30/2008	11	15	13	12	3	1	0	1	3	9	1	2	3	4	4	3	0	1	3	4
"MODELS OF MORALITY IN LAW AND ECONOMICS: SELF-CONTROL AND SELF- IMPROVEMENT FOR THE ""BAD MAN"" OF HOLMES"	http://works.bepress.com/robert_cooter/68	1/20/2004	11	24	17	21	9	11	10	20	17	17	13	7	9	11	23	12	2	17	5	6
"Fairness, Character, and Efficiency in Firms "	http://works.bepress.com/robert_cooter/78	1/20/2004	11	13	10	25	10	15	12	5	15	4	2	16	4	7	7	4	5	6	2	5
A Call to Action: Turning the Golden State into a Golden Opportunity for International Arbitration	http://works.bepress.com/david_caron/102	5/5/2010	11	11	15	11	7	6	2	2	11	12	2	2	2	2	3	3	4	2	6	2
"Globalism and the Constitution: Treaties, Non-Self-Execution, and the Original Understanding"	http://works.bepress.com/johnyoo/25	5/14/2008	11	13	26	21	12	18	18	11	8	13	7	2	2	8	1	2	7	4	5	2
The 'Bush Doctrine': Can Preventive War Be Justified?	http://works.bepress.com/johnyoo/45	3/12/2010	10	24	25	19	8	26	6	7	12	11	12	6	11	7	19	26	10	61	16	8
"International Sanctions, Ocean Management and the Law of the Sea:  A Study of Denial of Access to Fishing"	http://works.bepress.com/david_caron/50	5/30/2008	10	5	6	5	3	2	4	1	7	4	9	4	4	9	6	3	1	5	3	4
Accidents and Tort Law.new chapter for Law & Pvrty Nations	http://works.bepress.com/robert_cooter/147	10/1/2007	10	21	14	26	6	10	6	11	4	2	3	10	6	4	13	4	5	2	4	1
Structural Adjudication and the New Law Merchant: A Model of Decentralized Law	http://works.bepress.com/robert_cooter/40	1/20/2004	10	12	10	10	9	10	35	28	9	5	11	8	11	4	17	9	12	6	7	9
The Interpretation of National Foreign Investment Laws as Unilateral Acts Under International Law	http://works.bepress.com/david_caron/115	7/21/2010	10	16	14	9	11	16	5	8	7	20	12	13	4	4	8	4	7	2	16	2
Investigating the Continuity of Sex Offending: Evidence from the Second Philadelphia Birth Cohort	http://works.bepress.com/franklin_zimring/4	1/28/2008	10	11	12	11	0	0	0	3	1	1	2	0	0	1	1	1	0	0	0	0
Prices and Sanctions	http://works.bepress.com/robert_cooter/18	1/20/2004	10	13	10	17	14	10	11	12	12	17	6	13	14	8	13	6	5	0	5	0
Contract Renegotiation and Options in Agency Problems 	http://works.bepress.com/aaron_edlin/15	1/23/2004	9	10	18	21	9	7	10	13	4	4	7	10	5	9	19	9	6	6	4	4
Theories Meet Facts.new chapter for Law & Pvrty Nations	http://works.bepress.com/robert_cooter/146	9/29/2007	9	9	6	14	6	7	6	8	3	1	2	4	2	5	8	1	2	2	0	2
Bargaining with the State: Offsets and Mitigation in Developing Land	http://works.bepress.com/robert_cooter/148	11/14/2007	9	7	6	12	7	8	7	10	4	8	4	6	8	7	9	3	4	3	2	0
"Cargill, Incorporated v. United Mexican States (ICSID Case No. ARB(AF)/05/2) (A NAFTA Chapter 11 Arbitration under the UNCITRAL Arbitration Rules before the ICSID Additional Facility) Final Award of September 18, 2009 (Michael Pryles, President; David D. Caron, member; Donald McCrae, member)."	http://works.bepress.com/david_caron/95	11/2/2009	9	9	14	10	11	3	1	6	8	4	3	4	1	0	1	1	4	1	1	1
A Theory of Direct Democracy and the Single Subject Rule	http://works.bepress.com/robert_cooter/160	7/19/2011	9	11	10	14	7	8	11	13	6	4	3	7	5	6	13	5	7	3	3	3
"Glamis Gold Ltd v. The United States of America (A NAFTA Chapter 11 Arbitration under the UNCITRAL Arbitration Rules before the ICSID Additional Facility) Final Award of June 6, 2009 (Michael K. Young, President; David D. Caron, member; Kenneth Hubbard, member)."	http://works.bepress.com/david_caron/93	7/6/2009	9	4	12	4	0	10	4	5	6	14	3	4	1	3	1	3	1	1	4	6
Academic Testimony on Unilateral Conduct before the U.S. Dept. of Justice & Federal Trade Commission Hearings	http://works.bepress.com/aaron_edlin/60	4/14/2008	9	8	11	18	8	6	6	5	3	3	3	1	0	0	1	1	0	2	0	2
"Climate Change, Sea Level Rise and the Coming Uncertainty in Oceanic Boundaries: A Proposal to Avoid Conflict MARITIME BOUNDARY DISPUTES, SETTLEMENT PROCESSES, AND THE LAW OF THE SEA"	http://works.bepress.com/david_caron/39	5/30/2008	9	12	7	7	2	7	14	9	13	9	8	11	7	3	8	3	6	2	4	5
 Hand Rule Damages for Incompensable Losses	http://works.bepress.com/robert_cooter/77	1/20/2004	9	17	18	11	10	11	4	7	5	2	2	1	3	2	9	6	2	0	2	3
When Law Makes Climate Change Worse:  Rethinking the Law of Baselines in Light of a Rising Sea Level	http://works.bepress.com/david_caron/59	6/2/2008	8	13	21	21	12	5	11	13	28	18	19	17	29	17	6	4	3	8	14	12
Bargaining with the State	http://works.bepress.com/robert_cooter/154	7/20/2009	8	7	5	14	5	6	6	9	7	4	5	6	7	7	10	3	3	6	2	2
"Professor's Update to Antitrust Analysis: Problems, Text and Cases"	http://works.bepress.com/aaron_edlin/45	11/19/2007	8	3	3	10	5	4	4	5	2	2	0	3	0	0	3	0	0	1	1	2
"Information, Innovation, and the Poverty of Nations"	http://works.bepress.com/robert_cooter/101	3/11/2005	8	16	9	11	5	6	10	11	2	5	0	5	3	2	11	0	4	1	2	1
"It Works for Mergers, Why not Finance"	http://works.bepress.com/aaron_edlin/77	6/25/2010	8	16	12	19	8	12	12	12	6	1	5	10	6	10	17	5	8	4	5	7
Adapt or Optimize? The Psychology and Economics of Rules of Evidence	http://works.bepress.com/robert_cooter/143	8/28/2007	8	4	5	11	5	9	6	12	4	4	6	4	3	6	8	4	3	2	1	0
Freedom to Trade and the Competitive Process	http://works.bepress.com/aaron_edlin/79	12/31/2010	8	14	12	18	11	7	11	16	47	14	20	20	21	21	28	10	20	20	14	10
Reputation and Reality in the ICSID Annulment Process: Understanding the Distinction Between Annulment and Appeal	http://works.bepress.com/david_caron/43	5/30/2008	8	19	11	14	7	13	4	10	18	10	12	4	17	7	15	8	15	5	2	7
Dispute Resolution in SPS Cases	http://works.bepress.com/andrew_guzman/4	3/31/2008	8	3	6	2	2	2	1	1	2	0	2	1	2	6	0	0	1	1	1	1
Arbitrator Liability: Reconciling Arbitration and Mandatory Rules	http://works.bepress.com/andrew_guzman/12	3/31/2008	8	15	15	4	6	3	4	4	8	7	3	3	14	18	7	7	9	15	0	4
Protection of the Stratospheric Ozone Layer and the Structure of International Environmental Law Making	http://works.bepress.com/david_caron/44	5/30/2008	7	20	22	32	10	10	9	11	31	10	15	12	4	5	11	2	4	8	4	8
Anti-Insurance	http://works.bepress.com/robert_cooter/37	1/20/2004	7	3	11	13	6	10	4	6	8	7	2	5	5	1	2	9	2	2	0	3
Who's so Afraid of the Eleventh Amendment	http://works.bepress.com/johnyoo/39	7/16/2008	7	3	4	0	0	1	0	0	0	1	0	0	0	1	0	0	1	3	0	0
To Settle or Empanel? An Empirical Analysis of Litigation and Settlement at the WTO	http://works.bepress.com/andrew_guzman/9	3/31/2008	7	11	7	8	5	1	1	2	2	9	3	5	4	4	2	4	3	3	7	3
"Liability rules, limited information, and the role of precedent"	http://works.bepress.com/robert_cooter/33	1/20/2004	7	9	7	11	8	6	4	8	8	5	1	3	6	16	12	3	2	2	2	10
Investor-State Arbitration: Strategic and Tactical Perspectives on Legitimacy	http://works.bepress.com/david_caron/82	4/5/2009	7	9	5	1	0	5	1	4	2	6	2	1	0	1	3	2	4	4	1	0
International Courts and Tribunals: Their Roles amidst a World of Courts	http://works.bepress.com/david_caron/130	2/8/2012	7	6	7	8	1	5	2	3	5	2	4	3	1	5	6	3	0	3	4	6
The Law of the Environment in the Restatement 3rd:  A Symbolic Step of Modest Value	http://works.bepress.com/david_caron/51	5/30/2008	7	6	7	6	1	3	7	14	1	4	0	0	1	6	2	0	4	0	2	4
American Indian Law Codes: Pragmatic Law and Tribal Identity	http://works.bepress.com/robert_cooter/150	2/5/2008	7	10	12	22	14	7	5	5	3	0	0	1	4	4	3	6	4	1	2	3
Roundtable: Recent Developments in Section 2	http://works.bepress.com/aaron_edlin/36	9/16/2004	7	3	5	5	5	4	5	4	4	4	0	3	0	0	2	2	0	0	0	0
Expressive Law and Economics	http://works.bepress.com/robert_cooter/9	1/20/2004	7	5	10	15	6	20	6	12	5	9	4	0	9	2	5	4	1	1	3	6
Market Affirmative Action	http://works.bepress.com/robert_cooter/17	1/20/2004	7	9	19	11	5	10	4	7	8	0	1	2	4	10	3	8	5	1	5	4
THE UNCITRAL ARBITRATION RULES: A COMMENTARY	http://works.bepress.com/david_caron/10	5/29/2008	7	12	10	2	8	6	4	12	16	16	6	9	8	8	5	13	13	15	11	1
Beyond Formalism in Foreign Affairs: A Functional Approach to the Alien Tort Statute	http://works.bepress.com/johnyoo/40	7/16/2008	7	4	5	4	0	2	1	3	4	2	0	3	1	0	4	2	1	2	0	0
Anti-Sharing as a Theory of Partnerships and Firms	http://works.bepress.com/robert_cooter/139	1/4/2007	7	4	5	11	5	6	8	9	6	4	3	7	3	7	10	3	5	3	3	2
Issues in Customary Land Law	http://works.bepress.com/robert_cooter/54	1/20/2004	7	19	18	16	10	8	11	18	10	8	7	5	21	19	17	4	22	6	4	2
Doing What You Say	http://works.bepress.com/robert_cooter/157	7/19/2011	6	5	7	12	20	6	4	5	3	3	0	1	1	3	4	2	0	1	0	1
The objectives of private and public judges	http://works.bepress.com/robert_cooter/130	8/1/2006	6	7	4	9	6	8	4	6	8	5	0	1	6	4	3	1	1	5	1	3
Law From Order: Economic Development and the Jurisprudence of Social Norms	http://works.bepress.com/robert_cooter/61	1/20/2004	6	10	13	13	3	12	4	8	6	17	4	0	3	1	8	3	5	3	3	1
Addressing Catastrophes: Conflicting Images of Solidarity and Self Interest	http://works.bepress.com/david_caron/48	5/30/2008	6	4	11	0	0	1	0	1	0	3	0	1	1	0	1	0	0	1	0	0
The Intrinsic Value of Obeying a Law: Economic Analysis of the Internal Viewpoint	http://works.bepress.com/robert_cooter/137	12/4/2006	6	9	13	15	6	7	5	5	3	2	0	2	1	4	4	4	1	1	3	1
Implementing the First Best in an Agency Relationship with Renegotiation: A Corrigendum	http://works.bepress.com/aaron_edlin/17	1/23/2004	6	7	8	16	10	7	10	14	5	5	4	7	3	9	27	3	5	6	5	3
"UC system: layoffs, not pay cuts"	http://works.bepress.com/robert_cooter/153	7/16/2009	6	5	5	10	7	8	8	12	6	1	2	1	6	3	2	1	3	1	1	1
"Do Guaranteed-Low-Price Policies Guarantee High Prices, and Can Antitrust Rise to the Challenge?"	http://works.bepress.com/aaron_edlin/10	1/23/2004	6	9	8	6	6	2	8	8	6	2	3	2	5	7	4	3	5	2	4	2
"Kant, Habermas and Democratic Peace"	http://works.bepress.com/johnyoo/51	3/12/2010	6	13	7	12	5	1	2	2	3	2	1	0	0	0	1	1	0	1	4	1
Assessing the Impact of the Nuclear Age on the Oceans and its Legal Regime	http://works.bepress.com/david_caron/106	6/14/2010	6	0	0	3	6	0	3	1	3	3	0	3	0	0	1	1	1	0	0	0
"Stefan A. Riesenfeld, the Arctic and the Law of the Sea"	http://works.bepress.com/david_caron/67	6/24/2008	6	5	3	1	2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0
Importers as Regulators: Product Safety in a Globalized World	http://works.bepress.com/andrew_guzman/45	3/24/2009	6	14	3	6	6	6	2	5	5	8	1	3	1	0	1	3	1	0	0	1
Sample Monopolization Questions	http://works.bepress.com/aaron_edlin/50	1/17/2008	6	9	11	19	9	8	14	11	2	1	3	10	2	7	18	4	5	5	5	2
"The Save Our State Amendment and SCOTUS: Why We Go to Miami, American Society of International Law Newsletter"	http://works.bepress.com/david_caron/116	10/1/2010	6	2	3	2	1	0	1	2	3	4	0	0	0	1	0	0	0	1	1	0
